bdate;hetu;sukup;birthdate;vpaiva;age;id
1890-01-01;010190+487S;Male;1890-01-01;1938-04-11;48.27105; 8
1899-12-30;301299+6271;Male;1899-12-30;NA;NA; 9
1909-12-28;281209-197O;Male;1909-12-28;1945-09-07;35.69336;13
1919-12-26;261219-492H;Female;1919-12-26;1947-09-05;27.69336; 3
1929-12-23;231229-600M;Female;1929-12-23;1970-07-03;40.52567; 2
1939-12-21;211239-249D;Male;1939-12-21;1983-07-01;43.52635;11
1949-12-18;181249-6006;Female;1949-12-18;1990-03-28;40.27379; 1
1959-12-16;161259-945J;Male;1959-12-16;2002-10-26;42.86105;14
1969-12-13;131269-490T;Female;1969-12-13;2010-05-23;40.44079; 4
1979-12-11;111279-050Z;Female;1979-12-11;2008-11-21;28.94730; 6
1989-12-08;081289-1853;Male;1989-12-08;2030-06-18;40.52567;12
1999-12-06;061299-3419;Male;1999-12-06;2041-06-16;41.52772;10
2009-12-03;031209A2460;Female;2009-12-03;2056-06-13;46.52704; 5
2019-12-01;011219A859W;Male;2019-12-01;2060-10-11;40.86242; 7
